新书《恭喜你被逮捕了》！！！: https://www.xbiquge.bz/book/51654/40671895.html
新书《我在灰雾时代稳健加点》: https://www.xbiquge.bz/book/51654/40671894.html
完本感言！: https://www.xbiquge.bz/book/51654/40671893.html
第二百八十二章 全球职业选手Top20！: https://www.xbiquge.bz/book/51654/34318580.html
第二百八十三章 温水斩敌！（上）: https://www.xbiquge.bz/book/51654/34326076.html
第二百八十四章 温水斩敌！（中）: https://www.xbiquge.bz/book/51654/34326077.html
第二百八十五章 温水斩敌！（三）: https://www.xbiquge.bz/book/51654/34332585.html
第二百八十六章 温水斩敌！（四）双倍求月票求订阅: https://www.xbiquge.bz/book/51654/34332586.html
第二百八十七章 温水斩敌！（五）: https://www.xbiquge.bz/book/51654/34338795.html
第二百八十八章 温水斩敌！（六）: https://www.xbiquge.bz/book/51654/34338796.html
第二百八十九章 温水斩敌！（完）三更求月票求订阅！: https://www.xbiquge.bz/book/51654/34338797.html
第二百九十章 朴实无华且枯燥の杀戮！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34342220.html
第二百九十一章 Phoenix，真“不死鸟”！？（双倍求月票求订阅！）: https://www.xbiquge.bz/book/51654/34342221.html
第二百九十二章 是兄弟就来砍我！: https://www.xbiquge.bz/book/51654/34347100.html
第二百九十三章 我愿称之为绝活！（双倍求月票求推荐）: https://www.xbiquge.bz/book/51654/34347101.html
第二百九十四章 无脑英雄需要无脑操作？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34352112.html
第二百九十五章 不死鸟の奥义！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34352113.html
第二百九十六章 峰起中路！: https://www.xbiquge.bz/book/51654/34357819.html
第二百九十七章 大型家暴现场？: https://www.xbiquge.bz/book/51654/34357820.html
第二百九十八章 一秒百刀，伟大的路线！（三更求月票求推荐！）: https://www.xbiquge.bz/book/51654/34357833.html
第二百九十九章 七分实力打天下！: https://www.xbiquge.bz/book/51654/34363809.html
第三百章 新一代“接锅侠”？！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34363810.html
第三百零一章 峰峰不在的第一天...: https://www.xbiquge.bz/book/51654/34371068.html
第三百零二章 人人如龙，历史的投影？！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34371069.html
第三百零三章 等一场雨停: https://www.xbiquge.bz/book/51654/34384067.html
第三百零四章 谁才是最强斩男？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34384069.html
第三百零五章 老年人之手？: https://www.xbiquge.bz/book/51654/34399694.html
第三百零六章 一看就不是正经人！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/34399695.html
第三百零七章 万物皆可穿？: https://www.xbiquge.bz/book/51654/34413466.html
第三百零八章 无情铁手！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34413467.html
第三百零九章 斩根！: https://www.xbiquge.bz/book/51654/34419583.html
第三百一十章 最强斩男の奥义！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34419584.html
第三百一十一章 我不是为了证明什么...: https://www.xbiquge.bz/book/51654/34428173.html
第三百一十二章 上单无敌の奥义！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34428174.html
第三百一十三章 石破，天惊！: https://www.xbiquge.bz/book/51654/34438076.html
第三百一十四章 从此不当狗！: https://www.xbiquge.bz/book/51654/34451683.html
第三百一十五章 所谓的“双杀”（求月票求订阅）: https://www.xbiquge.bz/book/51654/34451684.html
第三百一十六章 热爱发育李秀峰！: https://www.xbiquge.bz/book/51654/34458803.html
第三百一十七章 同是天涯沦落人！（求票票求订阅）: https://www.xbiquge.bz/book/51654/34458804.html
第三百一十八章 “飞沙走石”！: https://www.xbiquge.bz/book/51654/34465697.html
第三百一十九章 每个人都有自己的价值！（求月票求推荐）: https://www.xbiquge.bz/book/51654/34465698.html
第三百二十章 黄金之风，大招核爆流！: https://www.xbiquge.bz/book/51654/34469991.html
第三百二十一章 挟泰山以超北海！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34469992.html
第三百二十二章 峰式破法！: https://www.xbiquge.bz/book/51654/34474335.html
第三百二十三章 孤儿本孤！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34474336.html
第三百二十四章 这道题我做过...太难了！: https://www.xbiquge.bz/book/51654/34479172.html
第三百二十五章 谁是废物？: https://www.xbiquge.bz/book/51654/34483928.html
第三百二十六章 这一年的世界之巅！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34483929.html
第三百二十七章 世界第一上单！: https://www.xbiquge.bz/book/51654/34487523.html
第三百二十八章 嗯，会死得很惨！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34487524.html
第三百二十九章 凤出巢！（上）: https://www.xbiquge.bz/book/51654/34502411.html
第三百三十章 凤出巢！（下）: https://www.xbiquge.bz/book/51654/34502412.html
第三百三十一章 双K之战，教杰斯队玩杰西？！: https://www.xbiquge.bz/book/51654/34506244.html
第三百三十二章 飘E，可怕的男人！（求月票求订阅！）: https://www.xbiquge.bz/book/51654/34506245.html
第三百三十三章 谁说我峰哥越打越拉胯？！（大章）: https://www.xbiquge.bz/book/51654/34510940.html
第三百三十四章 谁在预判谁？: https://www.xbiquge.bz/book/51654/34514946.html
第三百三十五章 峡谷第一千层饼！: https://www.xbiquge.bz/book/51654/34519011.html
第三百三十六章 我承认我有赌的成分...（求月票求订阅）: https://www.xbiquge.bz/book/51654/34519012.html
第三百三十七章 薛定谔的炮！: https://www.xbiquge.bz/book/51654/34522564.html
第三百三十八章 真理只在大炮射程之内！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34522565.html
第三百三十九章 炮打出头鸟！: https://www.xbiquge.bz/book/51654/34532204.html
第三百四十章 让我来康康还有谁？（月末求月票求订阅！）: https://www.xbiquge.bz/book/51654/34532205.html
第三百四十一章 轮椅二人转！: https://www.xbiquge.bz/book/51654/34537230.html
第三百四十二章 到底是谁在教学谁？（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34537231.html
第三百四十三章 最擅“越级杀人”！: https://www.xbiquge.bz/book/51654/34541345.html
第三百四十四章 让我发育一下 （月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34541346.html
第三百四十五章 且随疾风前行！: https://www.xbiquge.bz/book/51654/34545557.html
第三百四十六章 战士上战场？（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34545558.html
第三百四十七章 心狠手辣Doub？: https://www.xbiquge.bz/book/51654/34551538.html
第三百四十八章 于绝境中的一剑飞仙！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34551539.html
第三百四十九章 此剑之势！: https://www.xbiquge.bz/book/51654/34552103.html
第三百五十章 愈斩愈烈！（月初求保底月票）: https://www.xbiquge.bz/book/51654/34558205.html
第三百五十一章 他打小就很稳: https://www.xbiquge.bz/book/51654/34562252.html
第三百五十二章 驯龙高手？（月初求月票求订阅）: https://www.xbiquge.bz/book/51654/34562253.html
第三百五十三章 气势如虹！: https://www.xbiquge.bz/book/51654/34567126.html
第三百五十四章 梦幻般的节奏！（月初求月票求订阅）: https://www.xbiquge.bz/book/51654/34567127.html
第三百五十五章 这个朋友我交定了！: https://www.xbiquge.bz/book/51654/34573232.html
第三百五十六章 八仙过海，各显神通！: https://www.xbiquge.bz/book/51654/34573233.html
第三百五十七章 玩得最菜的瑞雯！: https://www.xbiquge.bz/book/51654/34577286.html
第三百五十八章 男人的第六感？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34577287.html
第三百五十九章 本命打最菜！: https://www.xbiquge.bz/book/51654/34581738.html
第三百六十章 他强任他强！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34581739.html
第三百六十一章 大爷来抓嘛！: https://www.xbiquge.bz/book/51654/34586011.html
第三百六十二章 黑夜中的杀手，拔刀斩！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34586012.html
第三百六十三章 我的大招已经饥渴难耐了！（二合一求月票求订阅）: https://www.xbiquge.bz/book/51654/34592446.html
第三百六十四章 完美的配合！: https://www.xbiquge.bz/book/51654/34600710.html
第三百六十五章 世界第一上单！（大章求月票求订阅）: https://www.xbiquge.bz/book/51654/34600711.html
第三百六十六章 英雄，去超越！: https://www.xbiquge.bz/book/51654/34606704.html
第三百六十七章 我们是，冠军！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34606705.html
第三百六十八章 电竞正能量！: https://www.xbiquge.bz/book/51654/34626034.html
第三百六十九章 我李秀峰今天就是....（求月票求订阅）: https://www.xbiquge.bz/book/51654/34626035.html
第三百七十章 我看你骨骼清奇，不如...（日常）: https://www.xbiquge.bz/book/51654/34634205.html
第三百七十一章 世界第一上单回来了！（日常求月票求订阅）: https://www.xbiquge.bz/book/51654/34638437.html
第三百七十二章 你们的皇帝回来了！: https://www.xbiquge.bz/book/51654/34644865.html
第三百七十三章 欺人太甚！（新的一卷求月票求订阅）: https://www.xbiquge.bz/book/51654/34644866.html
第三百七十四章 年度恩怨大戏！: https://www.xbiquge.bz/book/51654/34648823.html
第三百七十五章 第一，真的有那么重要吗？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34648824.html
第三百七十六章 劲爆的转会期！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34654168.html
第三百七十七章 LPL的银河战舰？: https://www.xbiquge.bz/book/51654/34658197.html
第三百七十八章 好像也没啥区别？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34658198.html
第三百七十九章 我经常单杀他的: https://www.xbiquge.bz/book/51654/34662530.html
第三百八十章 有些人纵使神刀在手 （求月票求订阅）: https://www.xbiquge.bz/book/51654/34662531.html
第三百八十一章 父爱如山！: https://www.xbiquge.bz/book/51654/34666195.html
第三百八十二章 进击的刀神！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34666196.html
第三百八十三章 圣经咏唱: https://www.xbiquge.bz/book/51654/34683293.html
第三百八十四章 峰狗疯狗？！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34683294.html
第三百八十五章 江海砍王！: https://www.xbiquge.bz/book/51654/34702743.html
第三百八十六章 挺进半决赛！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34702744.html
第三百八十七章 德杯总决赛！: https://www.xbiquge.bz/book/51654/34718389.html
第三百八十八章 稳健の素人中单（求月票求订阅）: https://www.xbiquge.bz/book/51654/34718390.html
第三百八十九章 中单差距？: https://www.xbiquge.bz/book/51654/34734236.html
第三百九十章 我又不是不讲道理的人..（求月票求订阅）: https://www.xbiquge.bz/book/51654/34734238.html
第三百九十一章 炼铜至理，等价交换！: https://www.xbiquge.bz/book/51654/34742781.html
第三百九十二章 现已加入【手撕ADC】豪华套餐！: https://www.xbiquge.bz/book/51654/34742783.html
第三百九十三章 不便宜吧？: https://www.xbiquge.bz/book/51654/34753726.html
第三百九十四章 谁才是刺客？（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34753727.html
第三百九十五章 我叫MT！: https://www.xbiquge.bz/book/51654/34761823.html
第三百九十六章 传奇的第一页！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34761837.html
第三百九十七章 打到更高的地方！: https://www.xbiquge.bz/book/51654/34769913.html
第三百九十八章 转会落幕，最后的阵容！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34769914.html
第三百九十九章 有梦想谁都了不起！: https://www.xbiquge.bz/book/51654/34774984.html
第四百章 波澜壮阔的新赛季！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/34774994.html
第四百零一章 登“峰”造极境！: https://www.xbiquge.bz/book/51654/34780054.html
第四百零二章 新老“世界冠军”之战！: https://www.xbiquge.bz/book/51654/34780055.html
第四百零三章 稻梦空间！: https://www.xbiquge.bz/book/51654/34781608.html
第四百零四章 当狗又有什么不好呢？（万分感谢“青衫沾雨露”的盟主支持）: https://www.xbiquge.bz/book/51654/34785333.html
第四百零五章 峰式防Gank，散是满天星！（大章）: https://www.xbiquge.bz/book/51654/34785935.html
第四百零六章 Ray的千层套路！: https://www.xbiquge.bz/book/51654/34796766.html
第四百零七章 躲在键盘后的恶魔！（月初求保底月票）: https://www.xbiquge.bz/book/51654/34796767.html
第四百零八章 指东打西两开花！: https://www.xbiquge.bz/book/51654/34805998.html
第四百零九章 一秒七伤！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34805999.html
第四百一十章 打不过就拔电源？: https://www.xbiquge.bz/book/51654/34809658.html
第四百一十一章 拿下首胜，全员孤儿？（求月票求订阅）: https://www.xbiquge.bz/book/51654/34809663.html
第四百一十二章 战斗之心，至死方休！（大章）: https://www.xbiquge.bz/book/51654/34816318.html
第四百一十三章 打他大鸟！: https://www.xbiquge.bz/book/51654/34826362.html
第四百一十四章 这波我必不可能死！: https://www.xbiquge.bz/book/51654/34826363.html
第四百一十五章 说好的近战无敌呢？（第三更求月票）: https://www.xbiquge.bz/book/51654/34826364.html
第四百一十六章 影流之子！: https://www.xbiquge.bz/book/51654/34842183.html
第四百一十七章 皇子の终极奥义！: https://www.xbiquge.bz/book/51654/34842184.html
第四百一十八章 你要战，那便战！: https://www.xbiquge.bz/book/51654/34849247.html
第四百一十九章 教学失败，揭幕战的落幕！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34849258.html
第四百二十章 LPL的新环节: https://www.xbiquge.bz/book/51654/34853452.html
第四百二十一章 这该死的看脸的世界...（求月票求订阅）: https://www.xbiquge.bz/book/51654/34853453.html
第四百二十二章 “峰哥真激灵”: https://www.xbiquge.bz/book/51654/34862325.html
第四百二十三章 孤儿又见孤儿！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34862326.html
第四百二十四章 德莱文有手就行？: https://www.xbiquge.bz/book/51654/34874897.html
第四百二十五章 让我们来看看德莱文要做什么...（求月票求订阅）: https://www.xbiquge.bz/book/51654/34874898.html
第四百二十六章 冲塔型上单？: https://www.xbiquge.bz/book/51654/34878432.html
第四百二十七章 我把你当峰哥，你却想冲我！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34878433.html
第四百二十八章 四核级选手！: https://www.xbiquge.bz/book/51654/34906411.html
第四百二十九章 峰哥不要啊！！！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34906412.html
第四百三十章 有斧东来！: https://www.xbiquge.bz/book/51654/34914179.html
第四百三十一章 有的人根本没来！: https://www.xbiquge.bz/book/51654/34914180.html
第四百三十二章 峰哥，加油！（第三更求月票求订阅）: https://www.xbiquge.bz/book/51654/34914181.html
第四百三十三章 恐惧制造者！: https://www.xbiquge.bz/book/51654/34928413.html
第四百三十四章 矛来！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34928414.html
第四百三十五章 是峰子哥啊，那没事了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34948652.html
第四百三十六章 所谓的T0级上单！: https://www.xbiquge.bz/book/51654/34961027.html
第四百三十七章 打比赛最重要的是格局！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34961028.html
第四百三十八章 名画再现，血条消失术！（上）: https://www.xbiquge.bz/book/51654/34970518.html
第四百三十九章 名画再现，血条消失术！（下）: https://www.xbiquge.bz/book/51654/34970519.html
第四百四十章 大清亡了，AD站起来了！: https://www.xbiquge.bz/book/51654/34983928.html
第四百四十一章 ONG哭鸟？！（求月票求订阅）: https://www.xbiquge.bz/book/51654/34983929.html
第四百四十二章 峡谷带货人！: https://www.xbiquge.bz/book/51654/35005048.html
第四百四十三章 一刀一个KG叛徒？（求月票求推荐）: https://www.xbiquge.bz/book/51654/35005049.html
第四百四十四章 海上...祖安钢琴师！（求月票求推荐）: https://www.xbiquge.bz/book/51654/35028646.html
第四百四十五章 刚！就硬刚！: https://www.xbiquge.bz/book/51654/35039829.html
第四百四十六章 伦仔很忙！（求月票求推荐）: https://www.xbiquge.bz/book/51654/35039830.html
第四百四十七章 他实在是太稳健了！: https://www.xbiquge.bz/book/51654/35045640.html
第四百四十八章 一贱光寒十里滩！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35045641.html
第四百四十九章 一个大胆的假设！: https://www.xbiquge.bz/book/51654/35069975.html
第四百五十章 强队认证？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35069976.html
第四百五十一章 套路中的进出: https://www.xbiquge.bz/book/51654/35077249.html
第四百五十二章 峰哥打车: https://www.xbiquge.bz/book/51654/35077250.html
第四百五十三章 峰哥的味道我知道！: https://www.xbiquge.bz/book/51654/35088063.html
第四百五十四章 一步十算！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35088064.html
第四百五十五章 各点开花，全面压制！: https://www.xbiquge.bz/book/51654/35096027.html
第四百五十六章 车车，好快的车车！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35096028.html
第四百五十七章 新任务触发，真有你的！: https://www.xbiquge.bz/book/51654/35111457.html
第四百五十八章 整活大赛开始了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35111458.html
第四百五十九章 他强任他强...: https://www.xbiquge.bz/book/51654/35126992.html
第四百六十章（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35126993.html
第四百六十一章 双重Gank！: https://www.xbiquge.bz/book/51654/35133265.html
第四百六十二章 飞天小炮娘！: https://www.xbiquge.bz/book/51654/35133266.html
第四百六十三章 温暖的峰哥！: https://www.xbiquge.bz/book/51654/35146550.html
第四百六十四章 李掌门清理门户！（月初求保底月票求订阅）: https://www.xbiquge.bz/book/51654/35146551.html
第四百六十五章 峰言峰语！: https://www.xbiquge.bz/book/51654/35159740.html
第四百六十六章 书呆李小妹 （月初求月票求订阅）: https://www.xbiquge.bz/book/51654/35159741.html
第四百六十七章 那个在江海务工的峰哥（日常求月票求订阅）: https://www.xbiquge.bz/book/51654/35172778.html
第四百六十八章 这辈子最大的愿望就是叫一声...: https://www.xbiquge.bz/book/51654/35179767.html
第四百六十九章 国民二舅子？（日常求月票）: https://www.xbiquge.bz/book/51654/35179768.html
第四百七十章 电竞元宵，全华VS全华！（上）: https://www.xbiquge.bz/book/51654/35197954.html
第四百七十一章 电竞元宵，全华VS全华！（下）: https://www.xbiquge.bz/book/51654/35197955.html
第四百七十二章 开！就硬开！: https://www.xbiquge.bz/book/51654/35244866.html
第四百七十三章 摊牌了，不装了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35244867.html
第四百七十四章 退一步越想越亏: https://www.xbiquge.bz/book/51654/35292511.html
第四百七十五章 我真的是和人在对线？ （求月票求订阅）: https://www.xbiquge.bz/book/51654/35292512.html
第四百七十六章 虎神，暂时滴神；峰哥，永远滴...（求月票求订阅）: https://www.xbiquge.bz/book/51654/35304697.html
第四百七十七章 LPL只有一个薇恩！: https://www.xbiquge.bz/book/51654/35314622.html
第四百七十八章 极限四响炮！（求月票求订阅！）: https://www.xbiquge.bz/book/51654/35314623.html
第四百七十九章 赤脚杰斯，赔光夫人又折兵！（二合一）: https://www.xbiquge.bz/book/51654/35318969.html
第四百八十章 提前下班？这就是KG！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35318992.html
第四百八十一章 抖就多喝点水: https://www.xbiquge.bz/book/51654/35323401.html
第四百八十二章 你确定这是正能量系统？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35323402.html
第四百八十三章 用薇恩来打BMG是什么概念？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35327988.html
第四百八十四章 亮剑！: https://www.xbiquge.bz/book/51654/35334229.html
第四百八十五章 箭来！: https://www.xbiquge.bz/book/51654/35334230.html
第四百八十六章 要么爆杀，要么暴毙！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35339519.html
第四百八十七章 峰哥，时代变了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35343004.html
第四百八十八章 好巧，我也要鲨个人: https://www.xbiquge.bz/book/51654/35348184.html
第四百八十九章 夜袭流薇恩？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35348185.html
第四百九十章 峰哥：稳一点稳一点: https://www.xbiquge.bz/book/51654/35353775.html
第四百九十一章 谢谢，有被冒犯到 （求月票求订阅）: https://www.xbiquge.bz/book/51654/35353794.html
第四百九十二章 时代，似乎真的变了: https://www.xbiquge.bz/book/51654/35360122.html
第四百九十三章 比赛，最重要的是...（求月票求订阅）: https://www.xbiquge.bz/book/51654/35360123.html
第百九十四章 LPL最强全华班？: https://www.xbiquge.bz/book/51654/35365313.html
第四百九十五章 缺乏自信的峰哥 （求月票求订阅）: https://www.xbiquge.bz/book/51654/35365314.html
第四百九十六章 和峰哥做队友是什么体验？: https://www.xbiquge.bz/book/51654/35369727.html
第四百九十七章 新英雄整活？（求月票求推荐）: https://www.xbiquge.bz/book/51654/35369741.html
第四百九十八章 终究，还是一个人扛下了所有: https://www.xbiquge.bz/book/51654/35374451.html
第四百九十九章 双G之战，建议严查！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35374452.html
第五百章 我们先用排除法...（求月票求订阅）: https://www.xbiquge.bz/book/51654/35379263.html
第五百零一章 峰哥学抗压: https://www.xbiquge.bz/book/51654/35383185.html
第五百零二章 这消息，怎么不早说？: https://www.xbiquge.bz/book/51654/35383198.html
第五百零三章 队友的关怀: https://www.xbiquge.bz/book/51654/35387885.html
第五百零四章 玩战术的心都脏 （月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35387886.html
第五百零五章 求求你别来臊皮了！: https://www.xbiquge.bz/book/51654/35393673.html
第五百零六章 踢到真“铁板”了！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35393674.html
第五百零七章 AD妮蔻创始人？: https://www.xbiquge.bz/book/51654/35399952.html
第五百零八章 宿命的车轮，开转？: https://www.xbiquge.bz/book/51654/35399953.html
第五百零九章 还有这种好事？: https://www.xbiquge.bz/book/51654/35409972.html
第五百一十章 峰哥的三杀必死魔咒: https://www.xbiquge.bz/book/51654/35409973.html
第五百一十一章 封印松动了！（第一更）: https://www.xbiquge.bz/book/51654/35428489.html
第五百一十二章 团战弟弟？（第二更）: https://www.xbiquge.bz/book/51654/35428498.html
第五百一十三章 夏季赛的第一次...（第三更求双倍月票）: https://www.xbiquge.bz/book/51654/35428499.html
第五百一十四章 想杀我？我来了！（二合一求月票）: https://www.xbiquge.bz/book/51654/35433241.html
第五百一十五章 摇骰子型上单？（二合一，第七更求月票！）: https://www.xbiquge.bz/book/51654/35433243.html
第五百一十六章 峰哥的小目标 （月末双倍求月票）: https://www.xbiquge.bz/book/51654/35444571.html
第五百一十七章 和影子玩拳击: https://www.xbiquge.bz/book/51654/35464567.html
第五百一十八章 峰哥被打傻了？（月末双倍求月票）: https://www.xbiquge.bz/book/51654/35464568.html
第五百一十九章 摇头流剑魔？: https://www.xbiquge.bz/book/51654/35473868.html
第五百二十章 不，爷这是一刀流！（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/35473869.html
第五百二十一章 峰哥拿吧: https://www.xbiquge.bz/book/51654/35487955.html
第五百二十二章 K王之王！: https://www.xbiquge.bz/book/51654/35487956.html
第五百二十三章 站出来，倒下去！（第三更求双倍月票订阅）: https://www.xbiquge.bz/book/51654/35487957.html
第五百二十四章 这就是冷酷的上流世界吗？（上）: https://www.xbiquge.bz/book/51654/35495796.html
第五百二十五章 这就是冷酷的上流世界吗？（下）双倍求月票: https://www.xbiquge.bz/book/51654/35495797.html
第五百二十六章 我在等卡萨丁，你在等什么？: https://www.xbiquge.bz/book/51654/35505546.html
第五百二十七章 这就是无敌的卡萨丁吗？（双倍求月票求订阅）: https://www.xbiquge.bz/book/51654/35513607.html
第五百二十八章 一刀斩斩斩！（上）: https://www.xbiquge.bz/book/51654/35513608.html
第五百二十九章 一刀斩斩斩！（下）双倍求月票求订阅: https://www.xbiquge.bz/book/51654/35516813.html
第五百三十章 谢峰哥为吾辈上单开山 （二合一）双倍求月票求订阅: https://www.xbiquge.bz/book/51654/35530961.html
第五百三十一章 男人至死仍少年: https://www.xbiquge.bz/book/51654/35545150.html
第五百三十二章 收官之战，两军阵前: https://www.xbiquge.bz/book/51654/35545151.html
第五百三十三章 跑！赶紧跑！: https://www.xbiquge.bz/book/51654/35560951.html
第五百三十四章 骑脸就完事了！: https://www.xbiquge.bz/book/51654/35560952.html
第五百三十五章 人被抓就会死 （二合一求月票求订阅）: https://www.xbiquge.bz/book/51654/35565131.html
第五百三十六章 论剑: https://www.xbiquge.bz/book/51654/35576333.html
第五百三十七章 等我的瞬狱影杀阵！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35576334.html
第五百三十八章 拥抱暗影，死于黑暗！（上）: https://www.xbiquge.bz/book/51654/35580620.html
第五百三十九章 拥抱暗影，死于黑暗！（下）求月票求订阅: https://www.xbiquge.bz/book/51654/35580682.html
第五百四十章 这就是三亿鼠标的刚枪梦？！（二合一求月票求订阅）: https://www.xbiquge.bz/book/51654/35584289.html
第五百四十一章 精壮小伙不请自来: https://www.xbiquge.bz/book/51654/35596357.html
第五百四十二章 JD没了啊！: https://www.xbiquge.bz/book/51654/35596358.html
第五百四十三章 谁才是真正的创始人？（二合一求月票）: https://www.xbiquge.bz/book/51654/35601532.html
第五百四十四章 兄弟，我开玩笑的: https://www.xbiquge.bz/book/51654/35606092.html
第五百四十五章 说好的残血呢？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35606093.html
第五百四十六章 峰哥到底经历了什么？: https://www.xbiquge.bz/book/51654/35611555.html
第五百四十七章 谁说上单就要在上路分胜负？（求月票求订阅）: https://www.xbiquge.bz/book/51654/35611561.html
第五百四十八章 峰哥真男人！: https://www.xbiquge.bz/book/51654/35619362.html
第五百四十九章 真理就在我的枪里 （求月票求订阅）: https://www.xbiquge.bz/book/51654/35619363.html
第五百五十章 真有你的峰哥！: https://www.xbiquge.bz/book/51654/35635712.html
第五百五十一章 对不起，这个我忍不了！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35635713.html
第五百五十二章 这个队伍太有血性了！: https://www.xbiquge.bz/book/51654/35643112.html
第五百五十三章 一枪超人！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35643113.html
第五百五十四章 峰哥为什么这么长？: https://www.xbiquge.bz/book/51654/35650996.html
第五百五十五章 夏季常规赛的尾声（求月票求订阅）: https://www.xbiquge.bz/book/51654/35650997.html
第五百五十六章 下饭的采访: https://www.xbiquge.bz/book/51654/35658319.html
第五百五十七章 中门“对狙”！: https://www.xbiquge.bz/book/51654/35661842.html
第五百五十八章 峰哥的第一次荧幕初...（求月票求订阅）: https://www.xbiquge.bz/book/51654/35661843.html
第五百五十九章 峰哥买水军了？: https://www.xbiquge.bz/book/51654/35666399.html
第五百六十章 半决赛的序幕，大伙都笑了！: https://www.xbiquge.bz/book/51654/35666400.html
第五百六十一章 快乐二代目！: https://www.xbiquge.bz/book/51654/35673517.html
第五百六十二章 沸羊羊是你！（求月票求订阅）: https://www.xbiquge.bz/book/51654/35673518.html
第五百六十三章 舞动青春！: https://www.xbiquge.bz/book/51654/35678743.html
第五百六十四章 睡梦深处的羊叫声？！: https://www.xbiquge.bz/book/51654/35678744.html
第五百六十五章 沸羊羊进化！: https://www.xbiquge.bz/book/51654/35685322.html
第五百六十六章 别看我只是一只羊...（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35685323.html
第五百六十七章 KG不需要峰狗！: https://www.xbiquge.bz/book/51654/35693476.html
第五百六十八章 还是带峰哥一起玩吧 （月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35693477.html
第五百六十九章 峰哥，暂时滴神！: https://www.xbiquge.bz/book/51654/35698090.html
第五百七十章 一声羊来开天门！（月末求月票求订阅）: https://www.xbiquge.bz/book/51654/35698091.html
第五百七十一章 难道又是“上路无敌法”？: https://www.xbiquge.bz/book/51654/35707346.html
第五百七十二章 这只奥恩落单了！: https://www.xbiquge.bz/book/51654/35711636.html
第五百七十三章 羊儿的伤害你们难以想象: https://www.xbiquge.bz/book/51654/35711637.html
第五百七十四章 谁选谁输，没意见吧？: https://www.xbiquge.bz/book/51654/35715305.html
