第3866章：望穿秋水: https://www.xbiquge.bz/book/48370/40729936.html
第3865章：批准: https://www.xbiquge.bz/book/48370/40729935.html
第3864章：爽快: https://www.xbiquge.bz/book/48370/40721218.html
第3863章：乡镇企业: https://www.xbiquge.bz/book/48370/40721217.html
第3862章：帮忙: https://www.xbiquge.bz/book/48370/40720861.html
第3861章：没有烦恼: https://www.xbiquge.bz/book/48370/40720860.html
第3860章：注意身体: https://www.xbiquge.bz/book/48370/40720552.html
第3859章：超前的名字: https://www.xbiquge.bz/book/48370/40720551.html
第3858章：送考: https://www.xbiquge.bz/book/48370/40720269.html
第3857章：夏天: https://www.xbiquge.bz/book/48370/40720268.html
第3856章：敲打: https://www.xbiquge.bz/book/48370/40719875.html
第3855章：检讨: https://www.xbiquge.bz/book/48370/40719874.html
第1000章绿油油的: https://www.xbiquge.bz/book/48370/35469614.html
第1001章高从民: https://www.xbiquge.bz/book/48370/35469615.html
第1002章育儿经: https://www.xbiquge.bz/book/48370/35485142.html
第1003章琐事: https://www.xbiquge.bz/book/48370/35485361.html
第1004章猜测: https://www.xbiquge.bz/book/48370/35492623.html
第1005章工地: https://www.xbiquge.bz/book/48370/35492624.html
第1006章挨骂: https://www.xbiquge.bz/book/48370/35500485.html
第1007章两个选择: https://www.xbiquge.bz/book/48370/35500486.html
第1008章和谁结婚: https://www.xbiquge.bz/book/48370/35504577.html
第1009章安排: https://www.xbiquge.bz/book/48370/35504578.html
第1010章梅苑餐厅: https://www.xbiquge.bz/book/48370/35513257.html
第1011章一家三口出行: https://www.xbiquge.bz/book/48370/35513634.html
第1012章想吃鱼: https://www.xbiquge.bz/book/48370/35521994.html
第1023章解心节: https://www.xbiquge.bz/book/48370/35521995.html
第1014章怪异: https://www.xbiquge.bz/book/48370/35542534.html
第1015章人太多了: https://www.xbiquge.bz/book/48370/35542535.html
第1016章婚礼（上）: https://www.xbiquge.bz/book/48370/35559361.html
第1017章婚礼（下）: https://www.xbiquge.bz/book/48370/35559362.html
第1018章垂钓台宾馆: https://www.xbiquge.bz/book/48370/35562374.html
第1019章偏执: https://www.xbiquge.bz/book/48370/35562375.html
第1020章误会: https://www.xbiquge.bz/book/48370/35571342.html
第1021章游园和晚宴: https://www.xbiquge.bz/book/48370/35571343.html
第1022章王永东到京: https://www.xbiquge.bz/book/48370/35578004.html
第1023章姜扒皮: https://www.xbiquge.bz/book/48370/35578005.html
第1024章飘了: https://www.xbiquge.bz/book/48370/35582071.html
第1025章有点意思: https://www.xbiquge.bz/book/48370/35582072.html
第1026章川省话专场: https://www.xbiquge.bz/book/48370/35592736.html
第1027章一口价: https://www.xbiquge.bz/book/48370/35592737.html
第1028章敲定: https://www.xbiquge.bz/book/48370/35598367.html
第1029章接机: https://www.xbiquge.bz/book/48370/35598368.html
第1030章分成: https://www.xbiquge.bz/book/48370/35604111.html
第1031章诗和远方: https://www.xbiquge.bz/book/48370/35604112.html
第1032章告状的不是好孩子: https://www.xbiquge.bz/book/48370/35608332.html
第1033章叫家长: https://www.xbiquge.bz/book/48370/35608583.html
第1034章脑补: https://www.xbiquge.bz/book/48370/35613291.html
第1035章政教处副主任: https://www.xbiquge.bz/book/48370/35613292.html
第1036章闹剧: https://www.xbiquge.bz/book/48370/35633150.html
第1037章帮你管教管教: https://www.xbiquge.bz/book/48370/35633151.html
第1038章最高30%: https://www.xbiquge.bz/book/48370/35639675.html
第1039章买了再给你: https://www.xbiquge.bz/book/48370/35639676.html
第1040章生孩子如果不是为了玩，妈完全没有意义: https://www.xbiquge.bz/book/48370/35645681.html
第1041章小没良心的: https://www.xbiquge.bz/book/48370/35645682.html
第1042章过寿（上）: https://www.xbiquge.bz/book/48370/35653309.html
第1043章过寿（下）: https://www.xbiquge.bz/book/48370/35653310.html
第1044章：回建华村: https://www.xbiquge.bz/book/48370/35659833.html
第1045章：围观歪果仁: https://www.xbiquge.bz/book/48370/35659834.html
第1046章高考: https://www.xbiquge.bz/book/48370/35664706.html
第1047章拜访: https://www.xbiquge.bz/book/48370/35665232.html
第1048章再等等: https://www.xbiquge.bz/book/48370/35671048.html
第1049章入股川航: https://www.xbiquge.bz/book/48370/35671049.html
第1050章拒绝: https://www.xbiquge.bz/book/48370/35676376.html
第1051章五家分厂: https://www.xbiquge.bz/book/48370/35676377.html
第1052章谢谢爸爸: https://www.xbiquge.bz/book/48370/35680564.html
第1053章亲切的挨骂: https://www.xbiquge.bz/book/48370/35680565.html
第1054章一万块钱: https://www.xbiquge.bz/book/48370/35691030.html
第1055章说了是医药费就必须是医药费: https://www.xbiquge.bz/book/48370/35691031.html
第1056章儿子有救了: https://www.xbiquge.bz/book/48370/35695441.html
第1057章回忆: https://www.xbiquge.bz/book/48370/35695442.html
第1058章看见好的东西就要手起刀落: https://www.xbiquge.bz/book/48370/35704896.html
第1059章转院: https://www.xbiquge.bz/book/48370/35704897.html
第1060章英姿飒爽: https://www.xbiquge.bz/book/48370/35709115.html
第1061章好乱的一家人: https://www.xbiquge.bz/book/48370/35709116.html
第1062章前程似锦，马到成功: https://www.xbiquge.bz/book/48370/35713338.html
第1063章游子归家: https://www.xbiquge.bz/book/48370/35713339.html
第1064章回家: https://www.xbiquge.bz/book/48370/35717436.html
第1065章偶遇: https://www.xbiquge.bz/book/48370/35717437.html
第1066章家和饮料厂的继任人选: https://www.xbiquge.bz/book/48370/35721056.html
第1067章竞争对手: https://www.xbiquge.bz/book/48370/35721057.html
第1068章服众: https://www.xbiquge.bz/book/48370/35727380.html
第1069章卧榻之侧: https://www.xbiquge.bz/book/48370/35727381.html
第1070章是不是不放心: https://www.xbiquge.bz/book/48370/35731109.html
第1071章水土不服和本土化管理: https://www.xbiquge.bz/book/48370/35731110.html
第1072章不敢置信: https://www.xbiquge.bz/book/48370/35735777.html
第1073章拍卖会（上）: https://www.xbiquge.bz/book/48370/35737012.html
第1074章拍卖会（中）: https://www.xbiquge.bz/book/48370/35739220.html
第1075章拍卖会（下）: https://www.xbiquge.bz/book/48370/35739221.html
第1076章：一扫光，全拿下: https://www.xbiquge.bz/book/48370/35743414.html
第1077章：三山五岳开发构想: https://www.xbiquge.bz/book/48370/35743600.html
第1078章压力小了: https://www.xbiquge.bz/book/48370/35747014.html
第1079章熟人: https://www.xbiquge.bz/book/48370/35747015.html
第1080章怎么花钱: https://www.xbiquge.bz/book/48370/35752391.html
第1081章签约仪式和二十辆小汽车: https://www.xbiquge.bz/book/48370/35752392.html
第1082章喝凉茶，开轿车: https://www.xbiquge.bz/book/48370/35756832.html
第1083章中奖的熊孩子: https://www.xbiquge.bz/book/48370/35756833.html
第1084章打一个: https://www.xbiquge.bz/book/48370/35761119.html
第1085章什么关系？: https://www.xbiquge.bz/book/48370/35761120.html
第1086章：要不起: https://www.xbiquge.bz/book/48370/35766973.html
第1087章伏尔加汽车和伏尔加汽车厂: https://www.xbiquge.bz/book/48370/35769731.html
第1088章：导购员的水平: https://www.xbiquge.bz/book/48370/35772324.html
第1089章：给姜小白上一课: https://www.xbiquge.bz/book/48370/35772325.html
第1090章挖人: https://www.xbiquge.bz/book/48370/35785793.html
第1091章七年: https://www.xbiquge.bz/book/48370/35785794.html
第1092章谁说我会输: https://www.xbiquge.bz/book/48370/35794375.html
第1093章划拳: https://www.xbiquge.bz/book/48370/35794376.html
第1094章整理衣服: https://www.xbiquge.bz/book/48370/35799413.html
第1095章琐事: https://www.xbiquge.bz/book/48370/35801008.html
第1096章1991年元旦: https://www.xbiquge.bz/book/48370/35803244.html
第1097章有点信心: https://www.xbiquge.bz/book/48370/35803830.html
第1098章突发情况: https://www.xbiquge.bz/book/48370/35807121.html
第1099章做人的本分: https://www.xbiquge.bz/book/48370/35807122.html
第1100章：两大民营巨头来考察: https://www.xbiquge.bz/book/48370/35811518.html
第1101章威胁: https://www.xbiquge.bz/book/48370/35813920.html
第1102章到龙江: https://www.xbiquge.bz/book/48370/35815659.html
第1103章亮刀子: https://www.xbiquge.bz/book/48370/35815660.html
第1104章嘴巴干净点（加更）: https://www.xbiquge.bz/book/48370/35816901.html
第1105章你没有以后了: https://www.xbiquge.bz/book/48370/35820125.html
第1106章不惜一切代价讨回公道: https://www.xbiquge.bz/book/48370/35821545.html
第1107章信任: https://www.xbiquge.bz/book/48370/35826545.html
第1108章大雪和清洗: https://www.xbiquge.bz/book/48370/35828269.html
第1109章你没机会了: https://www.xbiquge.bz/book/48370/35834641.html
第1110章父母是真爱，儿子是意外: https://www.xbiquge.bz/book/48370/35836399.html
第1111章：安顿: https://www.xbiquge.bz/book/48370/35840520.html
第1112章华青会: https://www.xbiquge.bz/book/48370/35842062.html
第1113章：全速前进: https://www.xbiquge.bz/book/48370/35844425.html
第1114章：过年了: https://www.xbiquge.bz/book/48370/35844426.html
第1115章惋惜: https://www.xbiquge.bz/book/48370/35848325.html
第1116章挑了个好时候: https://www.xbiquge.bz/book/48370/35848326.html
第1117章三百万: https://www.xbiquge.bz/book/48370/35862563.html
第1118章忙碌的春节: https://www.xbiquge.bz/book/48370/35862564.html
第1119章大盘鸡和驴肉甩饼: https://www.xbiquge.bz/book/48370/35868846.html
第1120章石牌坊: https://www.xbiquge.bz/book/48370/35870717.html
第1121章后悔了: https://www.xbiquge.bz/book/48370/35872416.html
第1122章一霸: https://www.xbiquge.bz/book/48370/35872417.html
第1123章迷路: https://www.xbiquge.bz/book/48370/35880751.html
第1124章骄傲的那神医: https://www.xbiquge.bz/book/48370/35881673.html
第1125章小朋友你是否有很多问好: https://www.xbiquge.bz/book/48370/35885540.html
第1126章缺一个: https://www.xbiquge.bz/book/48370/35890230.html
第1127章格局: https://www.xbiquge.bz/book/48370/35893056.html
第1128章知青聚会: https://www.xbiquge.bz/book/48370/35896141.html
第1129章：着急的两口子: https://www.xbiquge.bz/book/48370/35899703.html
第1130章 老人去世: https://www.xbiquge.bz/book/48370/35899704.html
第1131章：独立的姜浪浪小朋友: https://www.xbiquge.bz/book/48370/35907485.html
第1132章：快乐的流浪生活: https://www.xbiquge.bz/book/48370/35907486.html
第1133章年后例会: https://www.xbiquge.bz/book/48370/35914469.html
第1134章慢慢挑，不着急: https://www.xbiquge.bz/book/48370/35914889.html
第1135章开价: https://www.xbiquge.bz/book/48370/35917568.html
第1136章局促: https://www.xbiquge.bz/book/48370/35917569.html
第1137章：现在的华青: https://www.xbiquge.bz/book/48370/35924602.html
第1138章：带着宋馨出差: https://www.xbiquge.bz/book/48370/35924926.html
第1139章：天时地利人和: https://www.xbiquge.bz/book/48370/35927940.html
第1140章：开始洽谈: https://www.xbiquge.bz/book/48370/35927941.html
第1141章：优厚的方案: https://www.xbiquge.bz/book/48370/35934600.html
第1141章 前任想见: https://www.xbiquge.bz/book/48370/35940615.html
第1142章：叙旧: https://www.xbiquge.bz/book/48370/35949401.html
第1143章：你变了很多: https://www.xbiquge.bz/book/48370/35949924.html
第1144章：李思妍的方案: https://www.xbiquge.bz/book/48370/35953782.html
第1145章：故意捣乱: https://www.xbiquge.bz/book/48370/35953783.html
第1146章：怼的就是你: https://www.xbiquge.bz/book/48370/35957479.html
第1147章：姜小白的江湖地位: https://www.xbiquge.bz/book/48370/35957480.html
第1148章：王春芳辞职: https://www.xbiquge.bz/book/48370/35960915.html
第1149章：又被闺蜜上了一课: https://www.xbiquge.bz/book/48370/35961928.html
第1150章：帮不上忙: https://www.xbiquge.bz/book/48370/35964592.html
第1151章：大佬气质: https://www.xbiquge.bz/book/48370/35966586.html
第1152章强扭的瓜: https://www.xbiquge.bz/book/48370/35969677.html
第1153章调令: https://www.xbiquge.bz/book/48370/35970392.html
第1154章：还价二十美元: https://www.xbiquge.bz/book/48370/35975656.html
第1155章面带猪像，心中嘹亮: https://www.xbiquge.bz/book/48370/35977128.html
第1156章三天: https://www.xbiquge.bz/book/48370/35979742.html
第1157章三种方案: https://www.xbiquge.bz/book/48370/35981221.html
第1158章喝个够: https://www.xbiquge.bz/book/48370/35987588.html
第1159章堵门: https://www.xbiquge.bz/book/48370/35989116.html
第1160章牵绊: https://www.xbiquge.bz/book/48370/35991410.html
第1161章变化: https://www.xbiquge.bz/book/48370/35993338.html
第1162章风水轮流转: https://www.xbiquge.bz/book/48370/35995662.html
第1163章分房方案: https://www.xbiquge.bz/book/48370/35997545.html
第1164章：房型: https://www.xbiquge.bz/book/48370/36000207.html
第1165章四个档: https://www.xbiquge.bz/book/48370/36001826.html
第1166章 家电行业现状: https://www.xbiquge.bz/book/48370/36003292.html
第1167章：老子都对前女友下手了: https://www.xbiquge.bz/book/48370/36005273.html
第1168章 分房大会: https://www.xbiquge.bz/book/48370/36008143.html
第1169章 将在外军令有所不受: https://www.xbiquge.bz/book/48370/36008144.html
第1170章：幺蛾子: https://www.xbiquge.bz/book/48370/36011114.html
第1171章炒热: https://www.xbiquge.bz/book/48370/36011918.html
第1172章破局的关键: https://www.xbiquge.bz/book/48370/36014639.html
第1173章内斗一把好手: https://www.xbiquge.bz/book/48370/36016931.html
第1174章 放心不下: https://www.xbiquge.bz/book/48370/36020015.html
第1175章行程保密: https://www.xbiquge.bz/book/48370/36020016.html
第1176章搅混了: https://www.xbiquge.bz/book/48370/36026969.html
第1177章7月6日: https://www.xbiquge.bz/book/48370/36029957.html
第1178章挨骂: https://www.xbiquge.bz/book/48370/36032003.html
第1179章违约: https://www.xbiquge.bz/book/48370/36032004.html
第1180章断货时间: https://www.xbiquge.bz/book/48370/36035996.html
第1181章应对: https://www.xbiquge.bz/book/48370/36035997.html
第1182章砝码: https://www.xbiquge.bz/book/48370/36039462.html
第1183章酸: https://www.xbiquge.bz/book/48370/36040654.html
第1184章三包: https://www.xbiquge.bz/book/48370/36043788.html
第1185章凑拢班子: https://www.xbiquge.bz/book/48370/36045006.html
第1186章不用回去养猪了: https://www.xbiquge.bz/book/48370/36046762.html
第1187章认真的间谍: https://www.xbiquge.bz/book/48370/36046763.html
第1188章发动: https://www.xbiquge.bz/book/48370/36050781.html
第1189章捣乱: https://www.xbiquge.bz/book/48370/36054229.html
第1190章谁说我们断货了？: https://www.xbiquge.bz/book/48370/36057998.html
第1191章散伙: https://www.xbiquge.bz/book/48370/36057999.html
第1192章收购成功: https://www.xbiquge.bz/book/48370/36060537.html
第1193章苏宁空调专营: https://www.xbiquge.bz/book/48370/36062621.html
第1194章刻意安排: https://www.xbiquge.bz/book/48370/36064010.html
第1195章一条船: https://www.xbiquge.bz/book/48370/36065892.html
第1196章首义: https://www.xbiquge.bz/book/48370/36068073.html
第1197章发展的龙城: https://www.xbiquge.bz/book/48370/36068074.html
第1198章不想去上学: https://www.xbiquge.bz/book/48370/36070210.html
第1199章等着: https://www.xbiquge.bz/book/48370/36070211.html
第1200章打孩子: https://www.xbiquge.bz/book/48370/36075380.html
第1201章新闻发布（上）: https://www.xbiquge.bz/book/48370/36075751.html
第1202章新闻发布会（下）: https://www.xbiquge.bz/book/48370/36078404.html
第1203章同胞: https://www.xbiquge.bz/book/48370/36078405.html
第1204章兢兢战战的可口可乐: https://www.xbiquge.bz/book/48370/36081876.html
第1205章六爷请你们喝饮料: https://www.xbiquge.bz/book/48370/36081877.html
第1206章顾不顾大局！: https://www.xbiquge.bz/book/48370/36085470.html
第1207章三句话: https://www.xbiquge.bz/book/48370/36085471.html
第1208章访谈: https://www.xbiquge.bz/book/48370/36089284.html
第1209章升职: https://www.xbiquge.bz/book/48370/36089520.html
第1210章停不下来: https://www.xbiquge.bz/book/48370/36092465.html
第1211章交接: https://www.xbiquge.bz/book/48370/36092466.html
第1212章通话: https://www.xbiquge.bz/book/48370/36096675.html
第1213章以退为进: https://www.xbiquge.bz/book/48370/36096925.html
第1214章唇亡齿寒: https://www.xbiquge.bz/book/48370/36100235.html
第1215章终止合作: https://www.xbiquge.bz/book/48370/36103342.html
第1216章声讨会: https://www.xbiquge.bz/book/48370/36104393.html
第1217章琐事: https://www.xbiquge.bz/book/48370/36104394.html
第1218章银行开起来了: https://www.xbiquge.bz/book/48370/36110037.html
第1219章毕业以后回来: https://www.xbiquge.bz/book/48370/36110346.html
第1220章李思妍的新闻发布会（上）: https://www.xbiquge.bz/book/48370/36113237.html
第1221章李思妍的新闻发布会（下）: https://www.xbiquge.bz/book/48370/36113238.html
第1222章曲解: https://www.xbiquge.bz/book/48370/36117239.html
第1223章罐头市场: https://www.xbiquge.bz/book/48370/36117758.html
第1224章何光华的构想: https://www.xbiquge.bz/book/48370/36120371.html
第1225章出难题: https://www.xbiquge.bz/book/48370/36120372.html
第1226章难题: https://www.xbiquge.bz/book/48370/36123795.html
第1227章铁了心了: https://www.xbiquge.bz/book/48370/36123796.html
第1228章法盲: https://www.xbiquge.bz/book/48370/36127392.html
第1229章新兴饲料实验室: https://www.xbiquge.bz/book/48370/36127393.html
第1230章你该的: https://www.xbiquge.bz/book/48370/36131776.html
第1231章浪浪上学: https://www.xbiquge.bz/book/48370/36131777.html
第1232章姜潮是谁？: https://www.xbiquge.bz/book/48370/36133791.html
第1233章以后叫我大名: https://www.xbiquge.bz/book/48370/36133792.html
第1234章：哪个打老子: https://www.xbiquge.bz/book/48370/36147900.html
第1235章 卫星发射计划: https://www.xbiquge.bz/book/48370/36148082.html
第1236章：天马行空的计划: https://www.xbiquge.bz/book/48370/36152230.html
第1237章：宋馨生气了: https://www.xbiquge.bz/book/48370/36153082.html
第1238章 没人能制裁姜小白: https://www.xbiquge.bz/book/48370/36153922.html
第1239章 两个大佬的谈判: https://www.xbiquge.bz/book/48370/36153923.html
第1240章：强势入驻军工领域: https://www.xbiquge.bz/book/48370/36157391.html
第1241章：报名人数太多: https://www.xbiquge.bz/book/48370/36157392.html
第1242章 面试: https://www.xbiquge.bz/book/48370/36160461.html
第1243章 问题: https://www.xbiquge.bz/book/48370/36160462.html
第1244章：卫星也能赚钱: https://www.xbiquge.bz/book/48370/36163642.html
第1245章：风水宝地建华村: https://www.xbiquge.bz/book/48370/36163643.html
第1246章：你能不能有点骨气: https://www.xbiquge.bz/book/48370/36179716.html
第1247章：安抚: https://www.xbiquge.bz/book/48370/36179717.html
第1248章：鼓舞: https://www.xbiquge.bz/book/48370/36185436.html
第1249章：孤寡老人: https://www.xbiquge.bz/book/48370/36185437.html
第1250章：家庭聚会: https://www.xbiquge.bz/book/48370/36188445.html
第1251章：工具人: https://www.xbiquge.bz/book/48370/36188705.html
第1252章：同学: https://www.xbiquge.bz/book/48370/36193195.html
第1253章：可爱的保安: https://www.xbiquge.bz/book/48370/36193196.html
第1254章：站台: https://www.xbiquge.bz/book/48370/36196236.html
第1255章：开业: https://www.xbiquge.bz/book/48370/36196237.html
第1256章：不速之客: https://www.xbiquge.bz/book/48370/36198917.html
第1257章：正式开业: https://www.xbiquge.bz/book/48370/36198918.html
第1258章：甩手掌柜: https://www.xbiquge.bz/book/48370/36202152.html
第1259章：便宜哪个狗: https://www.xbiquge.bz/book/48370/36202153.html
第1260章：今天姜土豪买单: https://www.xbiquge.bz/book/48370/36204916.html
第1261章：小秘书的欢乐: https://www.xbiquge.bz/book/48370/36204917.html
第1262章：三刀一斧: https://www.xbiquge.bz/book/48370/36208351.html
第1263章：我闺女: https://www.xbiquge.bz/book/48370/36208352.html
第1264章：放人: https://www.xbiquge.bz/book/48370/36213942.html
第1265章：爸，保重身体: https://www.xbiquge.bz/book/48370/36213943.html
第1266章：隐形富二代: https://www.xbiquge.bz/book/48370/36216798.html
第1267章：人各有命: https://www.xbiquge.bz/book/48370/36216799.html
第1268章：江湖匪气: https://www.xbiquge.bz/book/48370/36222125.html
第1269章：三百万捐款: https://www.xbiquge.bz/book/48370/36222126.html
第1270章：三百万的面子: https://www.xbiquge.bz/book/48370/36225834.html
第1271章：别开生面的演讲: https://www.xbiquge.bz/book/48370/36225835.html
第1272章：换猪崽子: https://www.xbiquge.bz/book/48370/36229632.html
第1273章：抵达鹏城: https://www.xbiquge.bz/book/48370/36230246.html
第1274章：大佬的随意: https://www.xbiquge.bz/book/48370/36232714.html
第1275章：总部的限制: https://www.xbiquge.bz/book/48370/36232715.html
第1276章：人才济济: https://www.xbiquge.bz/book/48370/36235834.html
第1277章：什么将带什么兵: https://www.xbiquge.bz/book/48370/36235835.html
第1278章：我只能帮到这里了: https://www.xbiquge.bz/book/48370/36239688.html
第1279章：样板间: https://www.xbiquge.bz/book/48370/36239689.html
第1280章：瑕不遮瑜: https://www.xbiquge.bz/book/48370/36244945.html
第1281章：洒脱放弃: https://www.xbiquge.bz/book/48370/36244946.html
第1282章：收贿的小秘书: https://www.xbiquge.bz/book/48370/36249000.html
第1283章：大形势: https://www.xbiquge.bz/book/48370/36249001.html
第1284章：分崩离析前的混乱: https://www.xbiquge.bz/book/48370/36252142.html
第1285章：先保护你: https://www.xbiquge.bz/book/48370/36252143.html
第1286章：纪律整顿: https://www.xbiquge.bz/book/48370/36255287.html
第1287章：爸爸什么时候回来: https://www.xbiquge.bz/book/48370/36255675.html
第1288章取款制度: https://www.xbiquge.bz/book/48370/36258138.html
第1289章投资和离别: https://www.xbiquge.bz/book/48370/36258482.html
第1290章：发射场: https://www.xbiquge.bz/book/48370/36261220.html
第1291章：老安同志: https://www.xbiquge.bz/book/48370/36261368.html
第1292章：选择卫星: https://www.xbiquge.bz/book/48370/36267562.html
第1293章：总是在天马行空: https://www.xbiquge.bz/book/48370/36267995.html
第1294章：通讯卫星: https://www.xbiquge.bz/book/48370/36273697.html
第1295章：来晚了合同都签了: https://www.xbiquge.bz/book/48370/36273698.html
第1296章：前排围观: https://www.xbiquge.bz/book/48370/36280019.html
第1297章：时刻不忘大西北计划: https://www.xbiquge.bz/book/48370/36280020.html
第1298章：搞一批车: https://www.xbiquge.bz/book/48370/36289523.html
第1299章：打脸了: https://www.xbiquge.bz/book/48370/36289524.html
第1300章：我要了: https://www.xbiquge.bz/book/48370/36300285.html
第1301章：上当了: https://www.xbiquge.bz/book/48370/36301517.html
第1302章:冰释前嫌: https://www.xbiquge.bz/book/48370/36308255.html
第1303章：谣言满天飞: https://www.xbiquge.bz/book/48370/36308256.html
第1304章：宋馨的主意: https://www.xbiquge.bz/book/48370/36319982.html
第1305章：姜浪浪被无视了: https://www.xbiquge.bz/book/48370/36321585.html
第1306章：碰瓷: https://www.xbiquge.bz/book/48370/36324706.html
第1307章：升官: https://www.xbiquge.bz/book/48370/36325494.html
第1308章：感谢: https://www.xbiquge.bz/book/48370/36328136.html
第1309章 回归: https://www.xbiquge.bz/book/48370/36328321.html
第1310章距离还有13天: https://www.xbiquge.bz/book/48370/36332053.html
第1311章曹宏武: https://www.xbiquge.bz/book/48370/36332054.html
第1312章整顿活动（上）: https://www.xbiquge.bz/book/48370/36336962.html
第1313章整顿活动（中）: https://www.xbiquge.bz/book/48370/36337247.html
第1314章整顿活动（下）: https://www.xbiquge.bz/book/48370/36340982.html
第1315章万科和东兴: https://www.xbiquge.bz/book/48370/36340983.html
第1316章谈合作方案: https://www.xbiquge.bz/book/48370/36347644.html
第1317章姜小白的方案: https://www.xbiquge.bz/book/48370/36347645.html
第1318章犹豫: https://www.xbiquge.bz/book/48370/36352130.html
第1319章利益: https://www.xbiquge.bz/book/48370/36352613.html
第1320章：决定: https://www.xbiquge.bz/book/48370/36354770.html
第1321章：股份谈判: https://www.xbiquge.bz/book/48370/36355118.html
第1322章：一查到底: https://www.xbiquge.bz/book/48370/36358022.html
第1323章：达成协议: https://www.xbiquge.bz/book/48370/36358023.html
第1324章：偶遇媳妇: https://www.xbiquge.bz/book/48370/36361349.html
第1325章：分崩离析前的恐慌: https://www.xbiquge.bz/book/48370/36361350.html
第1326章：消息传来: https://www.xbiquge.bz/book/48370/36364946.html
第1327章：赌赢了: https://www.xbiquge.bz/book/48370/36364947.html
第1328章：第一站考察: https://www.xbiquge.bz/book/48370/36368445.html
第1329章：搬家: https://www.xbiquge.bz/book/48370/36368446.html
第1330章：风光的小秘书: https://www.xbiquge.bz/book/48370/36370164.html
第1331章：灌酒: https://www.xbiquge.bz/book/48370/36370165.html
第1332章：一往无前: https://www.xbiquge.bz/book/48370/36373242.html
第1333章：一个美梦: https://www.xbiquge.bz/book/48370/36373243.html
第1334章：我就想抱抱我妈: https://www.xbiquge.bz/book/48370/36376576.html
第1335章：家里人: https://www.xbiquge.bz/book/48370/36376577.html
第1336章：每况日下的卢币: https://www.xbiquge.bz/book/48370/36381784.html
第1337章：服装厂查账: https://www.xbiquge.bz/book/48370/36381785.html
第1338章：别加姜小白: https://www.xbiquge.bz/book/48370/36386074.html
第1339章：公事公办: https://www.xbiquge.bz/book/48370/36386075.html
第1340章三十年的利润: https://www.xbiquge.bz/book/48370/36389519.html
第1341章年关至: https://www.xbiquge.bz/book/48370/36389520.html
第1342章年夜饭（上）: https://www.xbiquge.bz/book/48370/36392502.html
第1343章年夜饭（下）: https://www.xbiquge.bz/book/48370/36392503.html
第1344章：持续下跌: https://www.xbiquge.bz/book/48370/36396166.html
第1345章：散乱股份: https://www.xbiquge.bz/book/48370/36396167.html
第1346章：暗标拍卖: https://www.xbiquge.bz/book/48370/36399990.html
第1347章：琼州地皮: https://www.xbiquge.bz/book/48370/36400262.html
第1348章：疑心重重: https://www.xbiquge.bz/book/48370/36423832.html
第1349章：客大欺店: https://www.xbiquge.bz/book/48370/36425184.html
第1350章：吃独食的霸气: https://www.xbiquge.bz/book/48370/36427859.html
第1351章：清一色虎头奔: https://www.xbiquge.bz/book/48370/36427860.html
第1352章：新闻发布酒会: https://www.xbiquge.bz/book/48370/36430633.html
第1353章：吃货姜董: https://www.xbiquge.bz/book/48370/36430847.html
第1354章：深特发的邀请: https://www.xbiquge.bz/book/48370/36433656.html
第1355章：邀请落户: https://www.xbiquge.bz/book/48370/36433657.html
第1356章：做炸弹吗: https://www.xbiquge.bz/book/48370/36436528.html
第1357章：形势一片大好: https://www.xbiquge.bz/book/48370/36436529.html
第1358章：老子是78派: https://www.xbiquge.bz/book/48370/36439545.html
第1359章：遍地开花: https://www.xbiquge.bz/book/48370/36439546.html
第1360章：快乐幸福就是最大的报答: https://www.xbiquge.bz/book/48370/36442613.html
第1361章：网罗人才: https://www.xbiquge.bz/book/48370/36442614.html
第1362章：花轿子人人抬: https://www.xbiquge.bz/book/48370/36445112.html
第1363章：分头行动: https://www.xbiquge.bz/book/48370/36447261.html
第1364章：怎么排场怎么来: https://www.xbiquge.bz/book/48370/36448629.html
第1365章：一群骑自行车的来赴宴: https://www.xbiquge.bz/book/48370/36448630.html
第1366章：龙城再见: https://www.xbiquge.bz/book/48370/36451413.html
第1367章：迟早是你们的: https://www.xbiquge.bz/book/48370/36451414.html
第1368章：尴尬了: https://www.xbiquge.bz/book/48370/36454603.html
第1369章：陆续抵达: https://www.xbiquge.bz/book/48370/36454604.html
第1370章：虎头奔到了: https://www.xbiquge.bz/book/48370/36459073.html
第1371章：宋馨要辞职: https://www.xbiquge.bz/book/48370/36459811.html
第1372章：累了想休息: https://www.xbiquge.bz/book/48370/36463718.html
第1373章：反省: https://www.xbiquge.bz/book/48370/36463719.html
第 1374章：口是心非小秘书: https://www.xbiquge.bz/book/48370/36474276.html
第1375章：小秘书也是个小富婆: https://www.xbiquge.bz/book/48370/36474564.html
第1376章：结果一个样: https://www.xbiquge.bz/book/48370/36477619.html
第1377章：战略发展部门成立: https://www.xbiquge.bz/book/48370/36477620.html
第1378章：互相认识: https://www.xbiquge.bz/book/48370/36480378.html
第1379章：开盲盒: https://www.xbiquge.bz/book/48370/36480379.html
第1380章：天下英雄尽入吾彀: https://www.xbiquge.bz/book/48370/36483488.html
第1381章：另类方式: https://www.xbiquge.bz/book/48370/36483773.html
第1382章：分组完成: https://www.xbiquge.bz/book/48370/36487024.html
第1383章：十亿美元: https://www.xbiquge.bz/book/48370/36487025.html
第1384章：春天来了: https://www.xbiquge.bz/book/48370/36489420.html
